date,WML
2015-01-01,0.0
2015-01-02,0.0
2015-01-05,1.51
2015-01-06,-0.08
2015-01-07,0.05
2015-01-08,-0.01
2015-01-09,0.47
2015-01-12,0.84
2015-01-13,-0.21
2015-01-14,0.53
2015-01-15,0.7
2015-01-16,-0.65
2015-01-19,0.04
2015-01-20,-0.26
2015-01-21,-0.65
2015-01-22,-0.57
2015-01-23,0.88
2015-01-26,0.01
2015-01-27,0.47
2015-01-28,1.12
2015-01-29,0.29
2015-01-30,-0.22
2015-02-02,-1.32
2015-02-03,-2.07
2015-02-04,0.41
2015-02-05,-0.62
2015-02-06,-0.01
2015-02-09,-0.26
2015-02-10,0.49
2015-02-11,0.76
2015-02-12,-0.89
2015-02-13,-1.44
2015-02-16,-0.4
2015-02-17,0.34
2015-02-18,-0.6
2015-02-19,0.56
2015-02-20,-0.12
2015-02-23,0.74
2015-02-24,-0.59
2015-02-25,0.25
2015-02-26,0.23
2015-02-27,0.0
2015-03-02,0.36
2015-03-03,-0.15
2015-03-04,0.57
2015-03-05,0.11
2015-03-06,-0.49
2015-03-09,-0.18
2015-03-10,0.5
2015-03-11,0.45
2015-03-12,0.26
2015-03-13,0.81
2015-03-16,0.55
2015-03-17,-0.37
2015-03-18,-0.13
2015-03-19,0.12
2015-03-20,-0.83
2015-03-23,-0.79
2015-03-24,-0.08
2015-03-25,-0.47
2015-03-26,-0.14
2015-03-27,0.32
2015-03-30,0.33
2015-03-31,0.08
2015-04-01,-0.13
2015-04-02,0.07
2015-04-03,-0.03
2015-04-06,0.02
2015-04-07,-0.39
2015-04-08,0.06
2015-04-09,0.24
2015-04-10,0.45
2015-04-13,-0.06
2015-04-14,-0.31
2015-04-15,-0.78
2015-04-16,-0.19
2015-04-17,0.0
2015-04-20,0.33
2015-04-21,1.17
2015-04-22,-0.21
2015-04-23,-0.6
2015-04-24,-0.27
2015-04-27,-0.16
2015-04-28,-1.05
2015-04-29,-0.52
2015-04-30,-0.22
2015-05-01,0.06
2015-05-04,0.25
2015-05-05,-0.56
2015-05-06,-0.62
2015-05-07,1.13
2015-05-08,0.61
2015-05-11,-0.06
2015-05-12,-0.39
2015-05-13,0.0
2015-05-14,0.07
2015-05-15,0.63
2015-05-18,0.33
2015-05-19,0.94
2015-05-20,0.18
2015-05-21,-0.1
2015-05-22,0.28
2015-05-25,0.31
2015-05-26,0.44
2015-05-27,0.13
2015-05-28,0.43
2015-05-29,0.04
2015-06-01,0.56
2015-06-02,-0.81
2015-06-03,-0.5
2015-06-04,0.42
2015-06-05,-0.09
2015-06-08,-0.14
2015-06-09,-0.24
2015-06-10,-0.07
2015-06-11,0.37
2015-06-12,0.52
2015-06-15,-0.18
2015-06-16,0.59
2015-06-17,-0.37
2015-06-18,0.01
2015-06-19,0.09
2015-06-22,0.1
2015-06-23,0.08
2015-06-24,-0.18
2015-06-25,0.42
2015-06-26,0.04
2015-06-29,0.07
2015-06-30,0.54
2015-07-01,0.55
2015-07-02,-0.54
2015-07-03,0.26
2015-07-06,0.52
2015-07-07,0.21
2015-07-08,-0.37
2015-07-09,0.14
2015-07-10,0.24
2015-07-13,0.62
2015-07-14,0.03
2015-07-15,0.38
2015-07-16,-0.04
2015-07-17,0.42
2015-07-20,0.28
2015-07-21,-0.56
2015-07-22,0.42
2015-07-23,0.09
2015-07-24,0.24
2015-07-27,-0.43
2015-07-28,0.29
2015-07-29,0.23
2015-07-30,-0.44
2015-07-31,0.48
2015-08-03,1.15
2015-08-04,0.13
2015-08-05,-0.26
2015-08-06,-0.15
2015-08-07,-0.7
2015-08-10,0.18
2015-08-11,0.28
2015-08-12,-0.82
2015-08-13,1.17
2015-08-14,0.7
2015-08-17,0.12
2015-08-18,0.68
2015-08-19,0.18
2015-08-20,-0.7
2015-08-21,-0.36
2015-08-24,0.69
2015-08-25,0.92
2015-08-26,-0.11
2015-08-27,-0.22
2015-08-28,-0.68
2015-08-31,0.44
2015-09-01,-0.01
2015-09-02,0.62
2015-09-03,0.08
2015-09-04,0.57
2015-09-07,0.22
2015-09-08,0.13
2015-09-09,-0.2
2015-09-10,0.95
2015-09-11,0.0
2015-09-14,0.18
2015-09-15,-0.29
2015-09-16,-0.53
2015-09-17,0.43
2015-09-18,0.84
2015-09-21,0.95
2015-09-22,0.27
2015-09-23,0.24
2015-09-24,0.13
2015-09-25,0.68
2015-09-28,0.5
2015-09-29,-1.29
2015-09-30,-0.14
2015-10-01,-0.04
2015-10-02,-0.77
2015-10-05,-1.07
2015-10-06,-0.57
2015-10-07,-2.25
2015-10-08,-0.63
2015-10-09,-1.36
2015-10-12,0.3
2015-10-13,0.78
2015-10-14,-0.38
2015-10-15,0.71
2015-10-16,0.46
2015-10-19,1.08
2015-10-20,0.54
2015-10-21,0.2
2015-10-22,-0.67
2015-10-23,0.26
2015-10-26,0.36
2015-10-27,1.21
2015-10-28,-0.47
2015-10-29,0.6
2015-10-30,-0.04
2015-11-02,-0.32
2015-11-03,-0.86
2015-11-04,-0.49
2015-11-05,1.18
2015-11-06,0.26
2015-11-09,-0.15
2015-11-10,0.93
2015-11-11,0.48
2015-11-12,0.87
2015-11-13,-0.2
2015-11-16,0.26
2015-11-17,0.04
2015-11-18,-0.64
2015-11-19,-0.08
2015-11-20,0.31
2015-11-23,0.36
2015-11-24,-0.65
2015-11-25,0.64
2015-11-26,-0.32
2015-11-27,0.39
2015-11-30,0.27
2015-12-01,0.08
2015-12-02,0.87
2015-12-03,0.21
2015-12-04,0.53
2015-12-07,1.21
2015-12-08,0.78
2015-12-09,-0.45
2015-12-10,-0.33
2015-12-11,0.63
2015-12-14,0.79
2015-12-15,-0.1
2015-12-16,-0.19
2015-12-17,0.51
2015-12-18,0.02
2015-12-21,0.01
2015-12-22,-0.43
2015-12-23,-1.15
2015-12-24,-0.1
2015-12-25,-0.01
2015-12-28,0.25
2015-12-29,0.54
2015-12-30,0.36
2015-12-31,-0.1
2016-01-01,-0.02
2016-01-04,0.06
2016-01-05,0.06
2016-01-06,0.72
2016-01-07,0.54
2016-01-08,0.58
2016-01-11,0.35
2016-01-12,0.77
2016-01-13,-0.26
2016-01-14,-1.49
2016-01-15,0.41
2016-01-18,0.39
2016-01-19,0.63
2016-01-20,0.56
2016-01-21,-0.87
2016-01-22,-0.84
2016-01-25,1.38
2016-01-26,-1.0
2016-01-27,0.46
2016-01-28,-0.93
2016-01-29,0.39
2016-02-01,0.9
2016-02-02,1.38
2016-02-03,-0.13
2016-02-04,-2.38
2016-02-05,-1.86
2016-02-08,0.13
2016-02-09,1.55
2016-02-10,0.88
2016-02-11,0.73
2016-02-12,-1.9
2016-02-15,-0.79
2016-02-16,0.41
2016-02-17,-1.56
2016-02-18,1.01
2016-02-19,0.98
2016-02-22,-1.16
2016-02-23,1.2
2016-02-24,1.04
2016-02-25,-0.16
2016-02-26,-1.77
2016-02-29,-0.9
2016-03-01,-0.19
2016-03-02,-2.05
2016-03-03,-1.76
2016-03-04,-1.39
2016-03-07,-0.78
2016-03-08,0.98
2016-03-09,0.86
2016-03-10,0.63
2016-03-11,-1.44
2016-03-14,-0.47
2016-03-15,1.28
2016-03-16,0.21
2016-03-17,-0.32
2016-03-18,-0.78
2016-03-21,0.24
2016-03-22,0.22
2016-03-23,1.28
2016-03-24,0.89
2016-03-25,0.0
2016-03-28,-0.02
2016-03-29,0.82
2016-03-30,-0.77
2016-03-31,0.44
2016-04-01,0.76
2016-04-04,0.15
2016-04-05,1.32
2016-04-06,0.11
2016-04-07,0.4
2016-04-08,-1.4
2016-04-11,-0.77
2016-04-12,-0.32
2016-04-13,-2.37
2016-04-14,-0.37
2016-04-15,-0.32
2016-04-18,-0.12
2016-04-19,-0.67
2016-04-20,-1.27
2016-04-21,-1.15
2016-04-22,-0.4
2016-04-25,1.1
2016-04-26,-0.56
2016-04-27,0.1
2016-04-28,-0.34
2016-04-29,1.05
2016-05-02,0.75
2016-05-03,1.87
2016-05-04,0.56
2016-05-05,0.18
2016-05-06,0.12
2016-05-09,1.29
2016-05-10,-0.57
2016-05-11,0.4
2016-05-12,0.36
2016-05-13,0.04
2016-05-16,-0.25
2016-05-17,-0.3
2016-05-18,-0.85
2016-05-19,0.49
2016-05-20,0.15
2016-05-23,0.17
2016-05-24,-0.64
2016-05-25,-1.31
2016-05-26,0.28
2016-05-27,0.17
2016-05-30,-0.05
2016-05-31,0.96
2016-06-01,1.05
2016-06-02,-0.41
2016-06-03,0.88
2016-06-06,-0.16
2016-06-07,-0.59
2016-06-08,0.1
2016-06-09,0.51
2016-06-10,0.93
2016-06-13,0.61
2016-06-14,0.54
2016-06-15,-0.3
2016-06-16,0.47
2016-06-17,-1.9
2016-06-20,-0.64
2016-06-21,0.08
2016-06-22,-0.41
2016-06-23,-0.63
2016-06-24,4.56
2016-06-27,2.17
2016-06-28,-0.37
2016-06-29,-0.17
2016-06-30,0.42
2016-07-01,0.07
2016-07-04,0.52
2016-07-05,1.69
2016-07-06,1.09
2016-07-07,-0.6
2016-07-08,-1.31
2016-07-11,-0.77
2016-07-12,-1.91
2016-07-13,0.82
2016-07-14,-0.81
2016-07-15,0.15
2016-07-18,0.0
2016-07-19,0.71
2016-07-20,-0.18
2016-07-21,-0.62
2016-07-22,0.51
2016-07-25,0.13
2016-07-26,0.19
2016-07-27,-1.41
2016-07-28,1.09
2016-07-29,-0.26
2016-08-01,0.63
2016-08-02,1.13
2016-08-03,-0.64
2016-08-04,0.16
2016-08-05,-1.15
2016-08-08,-0.6
2016-08-09,-0.01
2016-08-10,-0.22
2016-08-11,0.44
2016-08-12,-0.32
2016-08-15,0.17
2016-08-16,0.02
2016-08-17,0.17
2016-08-18,-0.1
2016-08-19,0.45
2016-08-22,-0.28
2016-08-23,-1.0
2016-08-24,-0.85
2016-08-25,0.54
2016-08-26,-0.03
2016-08-29,0.29
2016-08-30,-0.52
2016-08-31,-0.72
2016-09-01,-0.4
2016-09-02,0.03
2016-09-05,0.25
2016-09-06,0.3
2016-09-07,0.28
2016-09-08,-1.05
2016-09-09,-0.68
2016-09-12,0.67
2016-09-13,0.44
2016-09-14,0.48
2016-09-15,0.33
2016-09-16,0.48
2016-09-19,0.29
2016-09-20,0.44
2016-09-21,-0.37
2016-09-22,0.19
2016-09-23,0.55
2016-09-26,0.88
2016-09-27,0.42
2016-09-28,-0.15
2016-09-29,-0.15
2016-09-30,0.21
2016-10-03,0.09
2016-10-04,-0.2
2016-10-05,-0.65
2016-10-06,0.09
2016-10-07,0.53
2016-10-10,0.27
2016-10-11,-0.42
2016-10-12,0.06
2016-10-13,0.81
2016-10-14,-0.38
2016-10-17,0.3
2016-10-18,-0.56
2016-10-19,0.09
2016-10-20,-0.6
2016-10-21,0.08
2016-10-24,-0.45
2016-10-25,0.2
2016-10-26,-0.68
2016-10-27,-0.58
2016-10-28,0.26
2016-10-31,0.53
2016-11-01,-0.13
2016-11-02,0.35
2016-11-03,-1.24
2016-11-04,0.29
2016-11-07,-0.03
2016-11-08,0.25
2016-11-09,-0.43
2016-11-10,-1.35
2016-11-11,-0.85
2016-11-14,-0.48
2016-11-15,0.46
2016-11-16,0.6
2016-11-17,0.0
2016-11-18,0.27
2016-11-21,0.75
2016-11-22,0.26
2016-11-23,0.17
2016-11-24,0.14
2016-11-25,-0.23
2016-11-28,0.52
2016-11-29,-0.66
2016-11-30,0.22
2016-12-01,0.06
2016-12-02,-0.08
2016-12-05,0.39
2016-12-06,-0.94
2016-12-07,-0.21
2016-12-08,-0.42
2016-12-09,-0.29
2016-12-12,0.54
2016-12-13,-0.85
2016-12-14,0.09
2016-12-15,-0.75
2016-12-16,-0.16
2016-12-19,-0.13
2016-12-20,-0.17
2016-12-21,0.24
2016-12-22,0.12
2016-12-23,-0.1
2016-12-26,0.01
2016-12-27,0.05
2016-12-28,0.52
2016-12-29,-0.02
2016-12-30,-0.08
2017-01-02,0.01
2017-01-03,0.13
2017-01-04,-0.36
2017-01-05,-0.37
2017-01-06,0.12
2017-01-09,0.15
2017-01-10,0.47
2017-01-11,0.35
2017-01-12,0.54
2017-01-13,0.18
2017-01-16,0.3
2017-01-17,-0.71
2017-01-18,0.37
2017-01-19,0.0
2017-01-20,0.36
2017-01-23,0.01
2017-01-24,0.88
2017-01-25,0.37
2017-01-26,0.15
2017-01-27,-0.09
2017-01-30,-0.51
2017-01-31,-0.15
2017-02-01,0.37
2017-02-02,0.23
2017-02-03,-0.06
2017-02-06,-0.09
2017-02-07,-0.53
2017-02-08,-1.09
2017-02-09,0.2
2017-02-10,0.39
2017-02-13,0.41
2017-02-14,0.17
2017-02-15,0.09
2017-02-16,-0.21
2017-02-17,-0.85
2017-02-20,0.15
2017-02-21,-0.02
2017-02-22,-0.43
2017-02-23,-0.42
2017-02-24,-0.61
2017-02-27,0.16
2017-02-28,0.0
2017-03-01,0.78
2017-03-02,-0.27
2017-03-03,0.11
2017-03-06,-0.31
2017-03-07,0.3
2017-03-08,0.23
2017-03-09,-0.75
2017-03-10,0.17
2017-03-13,0.24
2017-03-14,0.01
2017-03-15,0.46
2017-03-16,-0.04
2017-03-17,-0.38
2017-03-20,-0.06
2017-03-21,-0.38
2017-03-22,0.15
2017-03-23,-0.16
2017-03-24,0.13
2017-03-27,-0.69
2017-03-28,0.65
2017-03-29,0.16
2017-03-30,0.09
2017-03-31,-0.5
2017-04-03,0.0
2017-04-04,0.36
2017-04-05,0.09
2017-04-06,0.07
2017-04-07,0.1
2017-04-10,-0.16
2017-04-11,-0.35
2017-04-12,-0.41
2017-04-13,-0.3
2017-04-14,-0.04
2017-04-17,0.0
2017-04-18,-0.68
2017-04-19,0.1
2017-04-20,0.37
2017-04-21,0.18
2017-04-24,1.0
2017-04-25,0.49
2017-04-26,0.08
2017-04-27,-0.44
2017-04-28,0.35
2017-05-01,0.12
2017-05-02,-0.14
2017-05-03,-0.25
2017-05-04,-0.11
2017-05-05,0.06
2017-05-08,-0.68
2017-05-09,-0.02
2017-05-10,0.08
2017-05-11,0.4
2017-05-12,-0.51
2017-05-15,0.6
2017-05-16,0.18
2017-05-17,-0.6
2017-05-18,-0.14
2017-05-19,0.31
2017-05-22,-0.3
2017-05-23,0.33
2017-05-24,0.1
2017-05-25,0.09
2017-05-26,0.24
2017-05-29,0.09
2017-05-30,0.12
2017-05-31,-0.27
2017-06-01,0.19
2017-06-02,0.43
2017-06-05,-0.11
2017-06-06,0.15
2017-06-07,0.38
2017-06-08,0.21
2017-06-09,0.84
2017-06-12,-0.82
2017-06-13,0.18
2017-06-14,-0.42
2017-06-15,-0.18
2017-06-16,0.11
2017-06-19,0.5
2017-06-20,-0.28
2017-06-21,0.2
2017-06-22,-0.28
2017-06-23,-0.11
2017-06-26,0.06
2017-06-27,0.39
2017-06-28,0.33
2017-06-29,0.01
2017-06-30,0.06
2017-07-03,0.57
2017-07-04,-0.38
2017-07-05,0.35
2017-07-06,0.29
2017-07-07,0.1
2017-07-10,0.38
2017-07-11,0.51
2017-07-12,-0.3
2017-07-13,-0.01
2017-07-14,-0.28
2017-07-17,-0.12
2017-07-18,-0.38
2017-07-19,0.03
2017-07-20,-0.05
2017-07-21,-0.23
2017-07-24,0.55
2017-07-25,0.66
2017-07-26,-0.01
2017-07-27,-0.09
2017-07-28,0.04
2017-07-31,0.34
2017-08-01,0.2
2017-08-02,-0.15
2017-08-03,0.18
2017-08-04,0.12
2017-08-07,0.54
2017-08-08,0.25
2017-08-09,-0.62
2017-08-10,-0.19
2017-08-11,-0.3
2017-08-14,0.56
2017-08-15,0.19
2017-08-16,0.46
2017-08-17,-0.23
2017-08-18,0.38
2017-08-21,-0.12
2017-08-22,0.18
2017-08-23,0.04
2017-08-24,0.17
2017-08-25,0.18
2017-08-28,-0.16
2017-08-29,-0.35
2017-08-30,0.26
2017-08-31,0.17
2017-09-01,0.36
2017-09-04,0.01
2017-09-05,-0.53
2017-09-06,-0.1
2017-09-07,-0.16
2017-09-08,0.05
2017-09-11,0.61
2017-09-12,0.38
2017-09-13,-0.09
2017-09-14,-0.21
2017-09-15,-0.42
2017-09-18,0.57
2017-09-19,0.25
2017-09-20,-0.19
2017-09-21,0.36
2017-09-22,0.21
2017-09-25,-1.12
2017-09-26,-0.14
2017-09-27,0.61
2017-09-28,0.12
2017-09-29,0.16
2017-10-02,0.26
2017-10-03,0.05
2017-10-04,-0.07
2017-10-05,0.21
2017-10-06,-0.22
2017-10-09,-0.04
2017-10-10,0.12
2017-10-11,0.27
2017-10-12,0.11
2017-10-13,0.14
2017-10-16,0.06
2017-10-17,0.05
2017-10-18,-0.01
2017-10-19,-0.25
2017-10-20,0.31
2017-10-23,0.15
2017-10-24,0.52
2017-10-25,0.63
2017-10-26,0.22
2017-10-27,-0.26
2017-10-30,0.08
2017-10-31,0.11
2017-11-01,0.49
2017-11-02,0.0
2017-11-03,0.17
2017-11-06,-0.23
2017-11-07,0.15
2017-11-08,-0.32
2017-11-09,-0.81
2017-11-10,0.45
2017-11-13,-0.04
2017-11-14,0.57
2017-11-15,-0.19
2017-11-16,0.27
2017-11-17,-0.1
2017-11-20,0.22
2017-11-21,0.44
2017-11-22,-0.42
2017-11-23,0.29
2017-11-24,0.3
2017-11-27,-0.01
2017-11-28,-0.31
2017-11-29,-0.57
2017-11-30,0.25
2017-12-01,-0.52
2017-12-04,0.07
2017-12-05,0.07
2017-12-06,-0.04
2017-12-07,0.15
2017-12-08,-0.01
2017-12-11,-0.25
2017-12-12,-0.4
2017-12-13,0.0
2017-12-14,-0.09
2017-12-15,0.22
2017-12-18,0.35
2017-12-19,0.13
2017-12-20,-0.12
2017-12-21,-0.27
2017-12-22,-0.14
2017-12-25,0.03
2017-12-26,-0.01
2017-12-27,-0.09
2017-12-28,-0.04
2017-12-29,-0.28
2018-01-01,0.01
2018-01-02,-0.14
2018-01-03,0.39
2018-01-04,0.31
2018-01-05,0.05
2018-01-08,0.07
2018-01-09,0.03
2018-01-10,-0.01
2018-01-11,-0.01
2018-01-12,-0.17
2018-01-15,-0.19
2018-01-16,0.35
2018-01-17,0.48
2018-01-18,0.24
2018-01-19,0.64
2018-01-22,-0.16
2018-01-23,-0.19
2018-01-24,-0.4
2018-01-25,-0.12
2018-01-26,0.4
2018-01-29,0.22
2018-01-30,-0.05
2018-01-31,0.46
2018-02-01,0.01
2018-02-02,-0.49
2018-02-05,-0.2
2018-02-06,0.18
2018-02-07,0.71
2018-02-08,-1.28
2018-02-09,-0.34
2018-02-12,0.34
2018-02-13,0.12
2018-02-14,0.39
2018-02-15,0.34
2018-02-16,-0.05
2018-02-19,0.0
2018-02-20,0.12
2018-02-21,0.52
2018-02-22,-0.01
2018-02-23,-0.15
2018-02-26,0.28
2018-02-27,0.01
2018-02-28,0.06
2018-03-01,-0.52
2018-03-02,-0.45
2018-03-05,-0.1
2018-03-06,0.43
2018-03-07,0.22
2018-03-08,-0.11
2018-03-09,0.03
2018-03-12,0.22
2018-03-13,0.25
2018-03-14,0.02
2018-03-15,0.46
2018-03-16,-0.13
2018-03-19,0.05
2018-03-20,0.75
2018-03-21,0.25
2018-03-22,-0.45
2018-03-23,-0.3
2018-03-26,0.14
2018-03-27,0.02
2018-03-28,-1.28
2018-03-29,0.15
2018-03-30,0.0
2018-04-02,-0.05
2018-04-03,0.51
2018-04-04,-0.61
2018-04-05,0.31
2018-04-06,-0.27
2018-04-09,0.15
2018-04-10,0.58
2018-04-11,0.0
2018-04-12,0.09
2018-04-13,-0.12
2018-04-16,-0.02
2018-04-17,0.14
2018-04-18,0.29
2018-04-19,-0.06
2018-04-20,-0.38
2018-04-23,0.19
2018-04-24,0.3
2018-04-25,-0.67
2018-04-26,0.21
2018-04-27,-0.01
2018-04-30,-0.37
2018-05-01,0.06
